Name,Title,Tags,Info_Attack,Info_Defense,Info_Magic,Info_Difficulty,Blurb,Image_Full,Image_Sprite,Key,ID
Aatrox,the Darkin Blade,Fighter,8,4,3,4,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Aatrox.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,266,Aatrox
Ahri,the Nine-Tailed Fox,"Mage, Assassin",3,4,8,5,"Innately connected to the magic of the spirit realm, Ahri is a fox-like vastaya who can manipulate her prey's emotions and consume their essence—receiving flashes of their memory and insight from each soul she consumes. Once a powerful yet wayward...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ahri.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,103,Ahri
Akali,the Rogue Assassin,Assassin,5,3,8,7,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Akali.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,84,Akali
Akshan,the Rogue Sentinel,"Marksman, Assassin",0,0,0,0,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Akshan.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,166,Akshan
Alistar,the Minotaur,"Tank, Support",6,9,5,7,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,12,Alistar
Ambessa,Matriarch of War,"Fighter, Assassin",9,2,0,10,"All who know the name Medarda respect and fear the family's leader, Ambessa. As a Noxian general, she embodies a deadly combination of ruthless strength and fearless resolve in battle. Her role as matriarch is no different, requiring great cunning to...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ambessa.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,799,Ambessa
Amumu,the Sad Mummy,"Tank, Support",2,6,8,3,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Amumu.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,32,Amumu
Anivia,the Cryophoenix,Mage,1,4,10,10,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Anivia.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,34,Anivia
Annie,the Dark Child,"Mage, Support",2,3,10,6,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,1,Annie
Aphelios,the Weapon of the Faithful,Marksman,6,2,1,10,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Aphelios.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,523,Aphelios
